Timestamp,Wecd_R,Timestamp,Wecd_L
10649,0,10649,0
33483,0,33483,0
47431,0,47431,0
64669,0,64669,0
80000,0,80000,0
96575,0,96575,0
110609,0,110609,0
127129,0,127129,0
142480,0,142480,0
158256,0,158256,-0.267035
175172,0,175172,-6.11E-12
191694,0,191694,-4.01E-25
206589,0,206589,-1.76E-37
223291,0,223291,0
238059,0,238059,0
253977,0,253977,0
267628,0,267628,0
285776,0,285776,0
300287,0,300287,0
316617,0,316617,0
332613,0,332613,0
349101,0,349101,0
364261,0,364261,0
380760,0,380760,0
395428,0,395428,0
411751,0,411751,0
425186,0,425186,0
443347,0,443347,0
457734,0,457734,0
474366,0,474366,0
489875,0,489875,0
506535,0,506535,0
522105,0,522105,0
530084,0,530084,0
553175,0,553175,0
569796,0,569796,0
584879,0,584879,0
598716,0,598716,0
614685,0,614685,0
631881,0,631881,0
645244,0,645244,0
660740,0,660740,0
677740,0,677740,0
693747,0,693747,0
708805,0,708805,0
725722,0,725722,0
741777,0,741777,0
757869,0,757869,0
771908,0,771908,0
786939,0,786939,0
802774,0,802774,0
818891,0,818891,0
834886,0,834886,0
849743,0,849743,0
866769,0,866769,0
882754,0,882754,0
899775,0,899775,0
913814,0,913814,0
929838,0,929838,0
946675,0,946675,0
960716,0,960716,0
978831,0,978831,0
994779,0,994779,0
1008924,0,1008924,0
1024902,0,1024902,0
1041819,0,1041819,0
1056024,0,1056024,0
1072499,0,1072499,0
1087364,0,1087364,0
1105340,0,1105340,0
1119902,0,1119902,0
1135999,0,1135999,0
1150867,0,1150867,0
1166441,0,1166441,0
1182366,0,1182366,0
1199383,0,1199383,0
1213615,0,1213615,0
1228573,0,1228573,0
1245585,0,1245585,0
1260092,0,1260092,0
1270476,0,1270476,0
1292404,0,1292404,0
1307542,0,1307542,0
1322654,0,1322654,0
1337533,0,1337533,0
1354612,0,1354612,0
1369781,0,1369781,0
1384822,0,1384822,0
1400693,0,1400693,-0.307091
1415696,0,1415696,-9.17E-13
1432905,0,1432905,-9.03E-27
1449993,0,1449993,-3.95E-39
1463254,0,1463254,0
1480251,0,1480251,0
1495328,0,1495328,0
1510757,0,1510757,0
1526413,0,1526413,0
1532486,0,1532486,0
1556897,0,1556897,0
1574926,0,1574926,0
1588911,0,1588911,0
1605482,0,1605482,0
1621773,0,1621773,0
1638706,0,1638706,0
1654024,0,1654024,0
1668301,0,1668301,0
1686148,0,1686148,0
1701128,0,1701128,0
1715694,0,1715694,0
1733589,0,1733589,0
1748780,0,1748780,0
1763952,0,1763952,0
1779885,0,1779885,0
1795953,0,1795953,0
1811286,0,1811286,0
1827402,0,1827402,0
1841334,0,1841334,0
1857752,0,1857752,0
1873565,0,1873565,0
1890537,0,1890537,0
1919655,0,1919655,0
1935548,0,1935548,0
1952557,0,1952557,0
1968724,0,1968724,0
1983172,0,1983172,0
2000395,0,2000395,0
2015239,0,2015239,0
2029244,0,2029244,0
2047981,0,2047981,0
2062504,0,2062504,0
2077514,0,2077514,0
2095272,0,2095272,0
2110518,0,2110518,0
2126867,0,2126867,0
2144194,0,2144194,0
2174361,0,2174361,0
2190833,0,2190833,0
2204702,0,2204702,0
2221534,0,2221534,0
2237369,0,2237369,0
2253527,0,2253527,0
2269468,0,2269468,0
2285383,0,2285383,0
2301364,0,2301364,0
2315912,0,2315912,0
2331990,0,2331990,0
2348188,0,2348188,0
2364684,0,2364684,0
2379473,0,2379473,0
2394245,0,2394245,0
2420691,0,2420691,0
2444390,0,2444390,0
2458845,0,2458845,0
2474960,0,2474960,0
2490846,0,2490846,0
2506936,0,2506936,0
2522425,0,2522425,0
2538392,0,2538392,0
2554504,0,2554504,0
2570501,0,2570501,0
2586481,0,2586481,0
2602387,0,2602387,0
2619474,0,2619474,0
2635535,0,2635535,0
2649516,0,2649516,0
2666081,0,2666081,0
2683063,0,2683063,0
2697995,0,2697995,0
2713494,0,2713494,0
2730636,0,2730636,0
2745596,0,2745596,0
2761212,0,2761212,0
2777054,0,2777054,0
2794143,0,2794143,0
2808593,0,2808593,0
2824662,0,2824662,0
2840661,0,2840661,0
2856683,0,2856683,0
2871857,0,2871857,0
2887842,0,2887842,0
2903683,0,2903683,0
2918735,0,2918735,0
2934603,0,2934603,-8.05E-08
2951610,0,2951610,-5.29E-21
2966228,0,2966228,-3.47E-34
2981107,0,2981107,0
2998210,0,2998210,0
3014249,0,3014249,0
3031185,0,3031185,0
3045281,0,3045281,0
3060958,0,3060958,0
3076900,0,3076900,0
3092859,0,3092859,0
3109919,0,3109919,0
3124078,0,3124078,0
3141024,0,3141024,0
3156296,0,3156296,0
3170445,0,3170445,0
3187385,0,3187385,0
3203965,0,3203965,0
3216914,0,3216914,0
3235419,0,3235419,-0.0471203
3250934,0,3250934,-2.06E-14
3266033,0,3266033,-1.36E-27
3281726,0,3281726,-8.90E-41
3298650,0,3298650,0
3314624,0,3314624,0
3331130,0,3331130,0
3345473,0,3345473,0
3361190,0,3361190,0
3376153,0,3376153,0
3393320,0,3393320,0
3409391,0,3409391,0
3425795,0,3425795,0
3441261,0,3441261,0
3457054,0,3457054,0
3473037,0,3473037,0
3489387,0,3489387,0
3504021,0,3504021,0
3519034,0,3519034,0
3535638,0,3535638,0
3552563,0,3552563,0
3567109,0,3567109,0
3597919,0,3597919,0
3612750,0,3612750,0
3627641,0,3627641,0
3643903,0,3643903,0
3658164,0,3658164,0
3675838,0,3675838,0
3689750,0,3689750,0
3705717,0,3705717,0
3721138,0,3721138,0
3738472,0,3738472,0
3752129,0,3752129,0
3768883,0,3768883,0
3783656,0,3783656,0
3801215,0,3801215,0
3816901,0,3816901,0
3832308,0,3832308,0
3847830,0,3847830,0
3864071,0,3864071,0
3878404,0,3878404,0
3894809,0,3894809,0
3910063,0,3910063,-0.007065
3926554,0,3926554,-4.64E-16
3943152,0,3943152,-2.03E-28
3957172,0,3957172,-2.00E-42
3974405,0,3974405,0
3989268,0,3989268,0
4019600,0,4019600,0
4035499,0,4035499,0
4051400,0,4051400,0
4067505,0,4067505,0
4082531,0,4082531,0
4099522,0,4099522,0
4116049,0,4116049,0
4132080,0,4132080,0
4146021,0,4146021,0
4162722,0,4162722,0
4178623,0,4178623,0
4193528,0,4193528,0
4200076,0,4200076,0
4227157,0,4227157,0
4241080,0,4241080,0
4257743,0,4257743,0
4273669,0,4273669,0
4289769,0,4289769,0
4305655,0,4305655,0
4320177,0,4320177,0
4337312,0,4337312,0
4352177,0,4352177,0
4368343,0,4368343,0
4384438,0,4384438,0
4400377,0,4400377,0
4416372,0,4416372,0
4432429,0,4432429,0
4447339,0,4447339,0
4462984,0,4462984,0
4481850,0,4481850,0
4510064,0,4510064,0
4526011,0,4526011,0
4542136,0,4542136,-8.05E-08
4559133,0,4559133,-5.29E-21
4575105,0,4575105,-7.01E-45
4605224,0,4605224,0
4619648,0,4619648,0
4635747,0,4635747,0
4651717,0,4651717,0
4667188,0,4667188,0
4681182,0,4681182,0
4697170,0,4697170,0
4711721,0,4711721,0
4729726,0,4729726,0
4742767,0,4742767,0
4758267,0,4758267,0
4774278,0,4774278,0
4791361,0,4791361,0
4810205,0,4810205,0
4823410,0,4823410,0
4839441,0,4839441,0
4855312,0,4855312,0
4870971,0,4870971,0
4885851,0,4885851,0
4903713,0,4903713,0
4919027,0,4919027,0
4935020,0,4935020,0
4949970,0,4949970,0
4966171,0,4966171,0
4981031,0,4981031,0
4998164,0,4998164,0
5014188,0,5014188,0
5029144,0,5029144,0
5046113,0,5046113,0
5061298,0,5061298,0
5077331,0,5077331,0
5093830,0,5093830,0
5108510,0,5108510,0
5125011,0,5125011,0
5139434,0,5139434,0
5156892,0,5156892,0
5170552,0,5170552,0
5188803,0,5188803,0
5203560,0,5203560,0
5221540,0,5221540,0
5237682,0,5237682,0
5268122,0,5268122,0
5281242,0,5281242,0
5296940,0,5296940,0
5313695,0,5313695,0
5330085,0,5330085,0
5344288,0,5344288,0
5360753,0,5360753,0
5377586,0,5377586,0
5392149,0,5392149,0
5408976,0,5408976,0
5423836,0,5423836,0
5442289,0,5442289,0
5470835,0,5470835,0
5486333,0,5486333,0
5502757,0,5502757,0
5517743,0,5517743,0
5531905,0,5531905,0
5548855,0,5548855,0
5563742,0,5563742,0
5580396,0,5580396,0
5595055,0,5595055,0
5610613,0,5610613,0
5628250,0,5628250,0
5643578,0,5643578,0
5658172,0,5658172,0
5675294,0,5675294,0
5691196,0,5691196,0
5707787,0,5707787,0
5722783,0,5722783,0
5740376,0,5740376,0
5754700,0,5754700,0
5770240,0,5770240,0
5785288,0,5785288,0
5802252,0,5802252,0
5818410,0,5818410,0
5834454,0,5834454,0
5850316,0,5850316,0
5866469,0,5866469,0
5883480,0,5883480,0
5898368,0,5898368,0
5913395,0,5913395,0
5929429,0,5929429,0
5943987,0,5943987,0
5961070,0,5961070,0
5976991,0,5976991,0
5995006,0,5995006,0
6024200,0,6024200,0
6040204,0,6040204,0
6057030,0,6057030,0
6073233,0,6073233,0
6087265,0,6087265,0
6103853,0,6103853,0
6121109,0,6121109,0
6134087,0,6134087,0
6142083,0,6142083,0
6165634,0,6165634,0
6183625,0,6183625,0
6198675,0,6198675,0
6214236,0,6214236,0
6230221,0,6230221,0
6247149,0,6247149,0
6276197,0,6276197,0
6293762,0,6293762,0
6307851,0,6307851,0
6324874,0,6324874,0
6341016,0,6341016,0
6355055,0,6355055,0
6372047,0,6372047,0
6388051,0,6388051,0
6404631,0,6404631,0
6419694,0,6419694,0
6434719,0,6434719,0
6450769,0,6450769,0
6465273,0,6465273,0
6471249,0,6471249,0
6500310,0,6500310,0
6533415,0,6533415,0
6561547,0,6561547,0
6577395,0,6577395,0
6593525,0,6593525,0
6608952,0,6608952,0
6615040,0,6615040,0
6645582,0,6645582,0
6673515,0,6673515,0
6688932,0,6688932,0
6705393,0,6705393,0
6722650,0,6722650,0
6735425,0,6735425,0
6754348,0,6754348,0
6766912,0,6766912,0
6785033,0,6785033,0
6798877,0,6798877,0
6815645,0,6815645,0
6830429,0,6830429,0
6846439,0,6846439,0
6863376,0,6863376,0
6877781,0,6877781,0
