Timestamp,dm_motor[0].measure.angle_delta,Timestamp,dm_motor[1].measure.angle_delta,Timestamp,dm_motor[2].measure.angle_delta,Timestamp,dm_motor[3].measure.angle_delta,
7372892,0,7372892,0,7372892,0,7372892,0,
7436451,0,7436451,0,7436451,0,7436451,0,
7492382,0,7492382,0,7492382,0,7492382,0,
7547347,0,7547347,0,7547347,0,7547347,0,
7602358,0,7602358,0,7602358,0,7602358,0,
7656045,0,7656045,0,7656045,0,7656045,0,
7720446,0,7720446,0,7720446,0,7720446,0,
7771587,0,7771587,0,7771587,0,7771587,0,
7815051,0,7815051,0,7815051,0,7815051,0,
7867839,0,7867839,0,7867839,0,7867839,0,
7912590,0,7912590,0,7912590,0,7912590,0,
7972070,0,7972070,0,7972070,0,7972070,0,
8028958,0,8028958,0,8028958,0,8028958,0,
8088162,0,8088162,0,8088162,0,8088162,0,
8140214,0,8140214,0,8140214,0,8140214,0,
8206719,0,8206719,0,8206719,0,8206719,0,
8261467,0,8261467,0,8261467,0,8261467,0,
8305927,0,8305927,0,8305927,0,8305927,0,
8361488,0,8361488,0,8361488,0,8361488,0,
8416611,0,8416611,0,8416611,0,8416611,0,
8466183,0,8466183,0,8466183,0,8466183,0,
8509897,0,8509897,0,8509897,0,8509897,0,
8558458,0,8558458,0,8558458,0,8558458,0,
8608501,0,8608501,0,8608501,0,8608501,0,
8664637,0,8664637,0,8664637,0,8664637,0,
8715461,0,8715461,0,8715461,0,8715461,0,
8768368,0,8768368,0,8768368,0,8768368,0,
8811671,0,8811671,0,8811671,0,8811671,0,
8870048,0,8870048,0,8870048,0,8870048,0,
8937751,0,8937751,0,8937751,0,8937751,0,
8997336,0,8997336,0,8997336,0,8997336,0,
9057284,0,9057284,0,9057284,0,9057284,0,
9111137,0,9111137,0,9111137,0,9111137,0,
9164007,0,9164007,-0.000383377,9164007,0,9164007,0,
9223705,0,9223705,0.000191689,9223705,0,9223705,0,
9273114,0,9273114,0,9273114,-0.0136142,9273114,0,
9320617,0,9320617,0,9320617,-0.0220513,9320617,0,
9365432,0,9365432,0.0262694,9365432,-0.0279956,9365432,0,
9419321,0,9419321,0.0356655,9419321,-0.032022,9419321,0,
9488078,0,9488078,0.0398841,9488078,-0.038734,9488078,0,
9542774,0,9542774,0.0444865,9542774,-0.0416093,9542774,0,
9586942,0,9586942,0.0107379,9586942,-0.0416098,9586942,0,
9639426,0,9639426,0.0335565,9639426,-0.0182161,9639426,0,
9707604,0,9707604,0.0427604,9707604,-0.0101628,9707604,0,
9768272,0,9768272,0.044486,9768272,-0.0147648,9768272,0,
9824360,0,9824360,0.0396919,9824360,-0.00690269,9824360,0,
9895091,0,9895091,0.0427608,9895091,-0.00153399,9895091,0,
9930562,0,9930562,0.0467868,9930562,0,9930562,0,
9989892,0,9989892,0.0529227,9989892,-0.000192165,9989892,0,
10035511,0,10035511,0.0513897,10035511,0,10035511,0,
