Timestamp,ins.pitch,Timestamp,LQRXObsBuf[0][4],Timestamp,LQRXObsBuf[0][5],Timestamp,LQRXObsBuf[1][4],Timestamp,LQRXObsBuf[1][5],
1963497,18.0461,1963497,0.314962,1963497,-9.49029e-05,1963497,0.314978,1963497,-0.000280827,
2000116,18.0466,2000116,0.314957,2000116,-9.49029e-05,2000116,0.314953,2000116,0.000183983,
2031559,18.0512,2031559,0.315022,2031559,0.000258352,2031559,0.314972,2031559,-0.000318011,
2045741,18.0468,2045741,0.314971,2045741,-9.49029e-05,2045741,0.314984,2045741,-7.63106e-05,
2080423,18.0448,2080423,0.314947,2080423,-0.000113495,2080423,0.314963,2080423,1.66513e-05,
2148997,18.0399,2148997,0.314858,2148997,-0.000113495,2148997,0.314833,2148997,-0.00015068,
2182645,18.0387,2182645,0.314836,2182645,9.10208e-05,2182645,0.314855,2182645,-0.000187865,
2213625,18.0387,2213625,0.314811,2213625,9.10208e-05,2213625,0.314805,2213625,0.000146798,
2244194,18.0194,2244194,0.314811,2244194,9.10208e-05,2244194,0.314811,2244194,9.10208e-05,
2276446,17.8819,2276446,0.314811,2276446,9.10208e-05,2276446,0.314811,2276446,9.10208e-05,
2309090,17.877,2309090,0.314811,2309090,9.10208e-05,2309090,0.314811,2309090,9.10208e-05,
2339126,18.0563,2339126,0.314811,2339126,9.10208e-05,2339126,0.314811,2339126,9.10208e-05,
2355320,17.8847,2355320,0.314811,2355320,9.10208e-05,2355320,0.314811,2355320,9.10208e-05,
2389458,17.8826,2389458,0.314811,2389458,9.10208e-05,2389458,0.314811,2389458,9.10208e-05,
2411822,17.9863,2411822,0.314811,2411822,9.10208e-05,2411822,0.314811,2411822,9.10208e-05,
2447450,17.9115,2447450,0.314811,2447450,9.10208e-05,2447450,0.314811,2447450,9.10208e-05,
2476285,17.9536,2476285,0.314811,2476285,9.10208e-05,2476285,0.314811,2476285,9.10208e-05,
2518835,17.9218,2518835,0.314811,2518835,9.10208e-05,2518835,0.314811,2518835,9.10208e-05,
2558728,17.953,2558728,0.314811,2558728,9.10208e-05,2558728,0.314811,2558728,9.10208e-05,
2585582,17.9501,2585582,0.314811,2585582,9.10208e-05,2585582,0.314811,2585582,9.10208e-05,
2620154,17.9586,2620154,0.314811,2620154,9.10208e-05,2620154,0.314811,2620154,9.10208e-05,
2675166,17.9453,2675166,0.314811,2675166,9.10208e-05,2675166,0.314811,2675166,9.10208e-05,
2727554,17.9389,2727554,0.314811,2727554,9.10208e-05,2727554,0.314811,2727554,9.10208e-05,
